experiment_id,cross_id,brood_id,vial_unique_id,treatment_id,data_collector,raw_egg_count,wall_eggs_count,drip_egg_count,hole_egg_count,total_egg_count
SK_14,2,A,SK_14_2_A,marker_free,MS,72,0,0,0,72
SK_14,4,A,SK_14_4_A,marker_free,MS,61,0,0,0,61
SK_14,7,A,SK_14_7_A,marker_free,MS,67,0,0,0,67
SK_14,9,A,SK_14_9_A,marker_free,MS,78,0,0,0,78
SK_14,10,A,SK_14_10_A,marker_free,MS,55,1,0,0,56
SK_14,11,A,SK_14_11_A,marker_free,MS,51,0,0,0,51
SK_14,13,A,SK_14_13_A,marker_free,MS,81,0,0,0,81
SK_14,15,A,SK_14_15_A,marker_free,MS,104,1,0,0,105
SK_14,16,A,SK_14_16_A,marker_free,MS,90,1,0,0,91
SK_14,20,A,SK_14_20_A,marker_free,MS,73,4,0,0,77
SK_14,2,B,SK_14_2_B,marker_free,MS,57,2,0,0,59
SK_14,4,B,SK_14_4_B,marker_free,MS,44,0,0,0,44
SK_14,7,B,SK_14_7_B,marker_free,MS,45,1,0,0,46
SK_14,9,B,SK_14_9_B,marker_free,MS,73,0,0,0,73
SK_14,10,B,SK_14_10_B,marker_free,MS,40,0,0,0,40
SK_14,11,B,SK_14_11_B,marker_free,MS,40,3,0,0,43
SK_14,13,B,SK_14_13_B,marker_free,MS,78,0,0,0,78
SK_14,15,B,SK_14_15_B,marker_free,MS,76,0,0,0,76
SK_14,16,B,SK_14_16_B,marker_free,MS,59,1,0,0,60
SK_14,20,B,SK_14_20_B,marker_free,MS,13,1,0,0,14
SK_14,2,C,SK_14_2_C,marker_free,MS,17,0,0,0,17
SK_14,4,C,SK_14_4_C,marker_free,MS,44,0,0,0,44
SK_14,7,C,SK_14_7_C,marker_free,MS,30,0,0,0,30
SK_14,9,C,SK_14_9_C,marker_free,MS,85,0,0,0,85
SK_14,10,C,SK_14_10_C,marker_free,MS,32,0,0,0,32
SK_14,11,C,SK_14_11_C,marker_free,MS,26,1,0,0,27
SK_14,13,C,SK_14_13_C,marker_free,MS,51,0,0,0,51
SK_14,15,C,SK_14_15_C,marker_free,MS,59,1,0,0,60
SK_14,16,C,SK_14_16_C,marker_free,MS,52,0,0,0,52
SK_14,20,C,SK_14_20_C,marker_free,MS,61,0,0,0,61
SK_14,2,D,SK_14_2_D,marker_free,MS,55,0,0,0,55
SK_14,4,D,SK_14_4_D,marker_free,MS,80,0,0,0,80
SK_14,7,D,SK_14_7_D,marker_free,MS,74,0,0,0,74
SK_14,9,D,SK_14_9_D,marker_free,MS,62,0,0,0,62
SK_14,10,D,SK_14_10_D,marker_free,MS,29,0,0,0,29
SK_14,11,D,SK_14_11_D,marker_free,MS,62,0,0,0,62
SK_14,13,D,SK_14_13_D,marker_free,MS,106,0,0,0,106
SK_14,15,D,SK_14_15_D,marker_free,MS,108,0,0,0,108
SK_14,16,D,SK_14_16_D,marker_free,MS,137,0,0,0,137
SK_14,20,D,SK_14_20_D,marker_free,MS,64,0,0,0,64
SK_14,2,E,SK_14_2_E,marker_free,MS,64,0,0,0,64
SK_14,4,E,SK_14_4_E,marker_free,MS,93,0,0,0,93
SK_14,7,E,SK_14_7_E,marker_free,MS,73,2,0,0,75
SK_14,9,E,SK_14_9_E,marker_free,MS,69,1,0,0,70
SK_14,10,E,SK_14_10_E,marker_free,MS,55,5,0,0,60
SK_14,11,E,SK_14_11_E,marker_free,MS,102,0,0,0,102
SK_14,13,E,SK_14_13_E,marker_free,MS,89,0,2,0,91
SK_14,15,E,SK_14_15_E,marker_free,MS,130,4,0,0,134
SK_14,16,E,SK_14_16_E,marker_free,MS,142,2,0,0,144
SK_14,20,E,SK_14_20_E,marker_free,MS,104,8,0,0,112
SK_14,2,F,SK_14_2_F,marker_free,MS,56,0,0,0,56
SK_14,4,F,SK_14_4_F,marker_free,MS,114,0,0,0,114
SK_14,7,F,SK_14_7_F,marker_free,MS,63,5,0,0,68
SK_14,9,F,SK_14_9_F,marker_free,MS,70,0,0,0,70
SK_14,10,F,SK_14_10_F,marker_free,MS,52,0,0,0,52
SK_14,11,F,SK_14_11_F,marker_free,MS,95,0,0,0,95
SK_14,13,F,SK_14_13_F,marker_free,MS,113,1,3,0,117
SK_14,15,F,SK_14_15_F,marker_free,MS,122,0,0,0,122
SK_14,16,F,SK_14_16_F,marker_free,MS,89,1,0,0,90
SK_14,20,F,SK_14_20_F,marker_free,MS,88,1,0,0,89
SK_14,2,G,SK_14_2_G,marker_free,MS,92,0,0,0,92
SK_14,4,G,SK_14_4_G,marker_free,MS,114,0,0,0,114
SK_14,7,G,SK_14_7_G,marker_free,MS,107,1,0,0,108
SK_14,9,G,SK_14_9_G,marker_free,MS,105,0,0,0,105
SK_14,10,G,SK_14_10_G,marker_free,MS,88,1,0,0,89
SK_14,11,G,SK_14_11_G,marker_free,MS,132,2,0,0,134
SK_14,13,G,SK_14_13_G,marker_free,MS,114,0,0,0,114
SK_14,15,G,SK_14_15_G,marker_free,MS,167,0,0,0,167
SK_14,16,G,SK_14_16_G,marker_free,MS,137,0,0,0,137
SK_14,20,G,SK_14_20_G,marker_free,MS,103,0,0,0,103
SK_14,2,H,SK_14_2_H,marker_free,MS,73,0,0,0,73
SK_14,4,H,SK_14_4_H,marker_free,MS,95,0,0,0,95
SK_14,7,H,SK_14_7_H,marker_free,MS,100,1,0,0,101
SK_14,9,H,SK_14_9_H,marker_free,MS,77,0,0,0,77
SK_14,10,H,SK_14_10_H,marker_free,MS,64,0,0,0,64
SK_14,11,H,SK_14_11_H,marker_free,MS,85,0,0,0,85
SK_14,13,H,SK_14_13_H,marker_free,MS,122,0,0,0,122
SK_14,15,H,SK_14_15_H,marker_free,MS,142,0,0,0,142
SK_14,16,H,SK_14_16_H,marker_free,MS,123,0,0,0,123
SK_14,20,H,SK_14_20_H,marker_free,MS,57,0,0,0,57
SK_14,2,I,SK_14_2_I,marker_free,MS,72,0,0,0,72
SK_14,4,I,SK_14_4_I,marker_free,MS,71,0,0,0,71
SK_14,7,I,SK_14_7_I,marker_free,MS,69,0,0,0,69
SK_14,9,I,SK_14_9_I,marker_free,MS,68,0,0,0,68
SK_14,10,I,SK_14_10_I,marker_free,MS,44,0,0,0,44
SK_14,11,I,SK_14_11_I,marker_free,MS,78,0,0,0,78
SK_14,13,I,SK_14_13_I,marker_free,MS,108,0,0,0,108
SK_14,15,I,SK_14_15_I,marker_free,MS,121,0,0,0,121
SK_14,16,I,SK_14_16_I,marker_free,MS,104,0,0,0,104
SK_14,20,I,SK_14_20_I,marker_free,MS,78,0,0,0,78
SK_14,2,J,SK_14_2_J,marker_free,MS,78,1,0,0,79
SK_14,4,J,SK_14_4_J,marker_free,MS,45,1,0,0,46
SK_14,7,J,SK_14_7_J,marker_free,MS,97,0,0,0,97
SK_14,9,J,SK_14_9_J,marker_free,MS,34,0,0,0,34
SK_14,10,J,SK_14_10_J,marker_free,MS,77,0,0,0,77
SK_14,11,J,SK_14_11_J,marker_free,MS,56,0,0,0,56
SK_14,13,J,SK_14_13_J,marker_free,MS,77,0,0,0,77
SK_14,15,J,SK_14_15_J,marker_free,MS,122,0,0,0,122
SK_14,16,J,SK_14_16_J,marker_free,MS,99,0,0,0,99
SK_14,20,J,SK_14_20_J,marker_free,MS,82,0,0,0,82